cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
1113;Cultivo de cereais;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1130;Cultivo de cana-de-açúcar;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1148;Cultivo de fumo;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1156;Cultivo de soja;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1164;Cultivo de oleaginosas de lavoura temporária, exceto soja;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1211;Horticultura;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1229;Cultivo de flores e plantas ornamentais;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1318;Cultivo de laranja;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1326;Cultivo de uva;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1342;Cultivo de café;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1351;Cultivo de cacau;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1393;Cultivo de plantas de lavoura permanente não especificadas anteriormente;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1415;Produção de sementes certificadas;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1423;Produção de mudas e outras formas de propagação vegetal, certificadas;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1512;Criação de bovinos;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1521;Criação de outros animais de grande porte;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1539;Criação de caprinos e ovinos;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1547;Criação de suínos;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1555;Criação de aves;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1598;Criação de animais não especificados anteriormente;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1610;Atividades de apoio à agricultura;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1628;Atividades de apoio à pecuária;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1636;Atividades de pós-colheita;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1709;Caça e serviços relacionados;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2101;Produção florestal - florestas plantadas;2;PRODUÇÃO FLORESTAL
2209;Produção florestal - florestas nativas;2;PRODUÇÃO FLORESTAL
2306;Atividades de apoio à produção florestal;2;PRODUÇÃO FLORESTAL
3116;Pesca em água salgada;3;PESCA E AQÜICULTURA
3124;Pesca em água doce;3;PESCA E AQÜICULTURA
3213;Aquicultura em água salgada e salobra;3;PESCA E AQÜICULTURA
3221;Aquicultura em água doce;3;PESCA E AQÜICULTURA
5003;Extração de carvão mineral;5;EXTRAÇÃO DE CARVÃO MINERAL
6000;Extração de petróleo e gás natural;6;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
7103;Extração de minério de ferro;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7219;Extração de minério de alumínio;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7227;Extração de minério de estanho;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7235;Extração de minério de manganês;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7243;Extração de minério de metais preciosos;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7251;Extração de minerais radioativos;7;EXTRAÇÃO DE MINERAIS METÁLICOS
7294;Extração de minerais metálicos não ferrosos não especificados anteriormente;7;EXTRAÇÃO DE MINERAIS METÁLICOS
8100;Extração de pedra, areia e argila;8;EXTRAÇÃO DE MINERAIS NÃO METÁLICOS
8916;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;8;EXTRAÇÃO DE MINERAIS NÃO METÁLICOS
8924;Extração e refino de sal marinho e sal-gema;8;EXTRAÇÃO DE MINERAIS NÃO METÁLICOS
8932;Extração de gemas (pedras preciosas e semipreciosas);8;EXTRAÇÃO DE MINERAIS NÃO METÁLICOS
8991;Extração de minerais não metálicos não especificados anteriormente;8;EXTRAÇÃO DE MINERAIS NÃO METÁLICOS
9106;Atividades de apoio à extração de petróleo e gás natural;9;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS
9904;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;9;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS
10112;Abate de reses, exceto suínos;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10121;Abate de suínos, aves e outros pequenos animais;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10139;Fabricação de produtos de carne;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10201;Preservação do pescado e fabricação de produtos do pescado;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10317;Fabricação de conservas de frutas;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10325;Fabricação de conservas de legumes e outros vegetais;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10333;Fabricação de sucos de frutas, hortaliças e legumes;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10414;Fabricação de óleos vegetais em bruto, exceto óleo de milho;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10422;Fabricação de óleos vegetais refinados, exceto óleo de milho;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10431;Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10511;Preparação do leite;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10520;Fabricação de laticínios;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10538;Fabricação de sorvetes e outros gelados comestíveis;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10619;Beneficiamento de arroz e fabricação de produtos do arroz;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10627;Moagem de trigo e fabricação de derivados;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10635;Fabricação de farinha de mandioca e derivados;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10643;Fabricação de farinha de milho e derivados, exceto óleos de milho;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10651;Fabricação de amidos e féculas de vegetais e de óleos de milho;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10660;Fabricação de alimentos para animais;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10694;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10716;Fabricação de açúcar em bruto;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10724;Fabricação de açúcar refinado;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10813;Torrefação e moagem de café;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10821;Fabricação de produtos à base de café;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10911;Fabricação de produtos de panificação;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10929;Fabricação de biscoitos e bolachas;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10937;Fabricação de produtos derivados do cacau, de chocolates e confeitos;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10945;Fabricação de massas alimentícias;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10953;Fabricação de especiarias, molhos, temperos e condimentos;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10961;Fabricação de alimentos e pratos prontos;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10996;Fabricação de produtos alimentícios não especificados anteriormente;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
11119;Fabricação de aguardentes e outras bebidas destiladas;11;FABRICAÇÃO DE BEBIDAS
11127;Fabricação de vinho;11;FABRICAÇÃO DE BEBIDAS
11135;Fabricação de malte, cervejas e chopes;11;FABRICAÇÃO DE BEBIDAS
11216;Fabricação de águas envasadas;11;FABRICAÇÃO DE BEBIDAS
11224;Fabricação de refrigerantes e de outras bebidas não alcoólicas;11;FABRICAÇÃO DE BEBIDAS
12107;Processamento industrial do fumo;12;FABRICAÇÃO DE PRODUTOS DO FUMO
12204;Fabricação de produtos do fumo;12;FABRICAÇÃO DE PRODUTOS DO FUMO
13111;Preparação e fiação de fibras de algodão;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13120;Preparação e fiação de fibras têxteis naturais, exceto algodão;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13138;Fiação de fibras artificiais e sintéticas;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13146;Fabricação de linhas para costurar e bordar;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13219;Tecelagem de fios de algodão;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13227;Tecelagem de fios de fibras têxteis naturais, exceto algodão;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13235;Tecelagem de fios de fibras artificiais e sintéticas;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13308;Fabricação de tecidos de malha;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13405;Acabamentos em fios, tecidos e artefatos têxteis;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13511;Fabricação de artefatos têxteis para uso doméstico;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13529;Fabricação de artefatos de tapeçaria;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13537;Fabricação de artefatos de cordoaria;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13545;Fabricação de tecidos especiais, inclusive artefatos;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
13596;Fabricação de outros produtos têxteis não especificados anteriormente;13;FABRICAÇÃO DE PRODUTOS TÊXTEIS
14118;Confecção de roupas íntimas;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
14126;Confecção de peças do vestuário, exceto roupas íntimas;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
14134;Confecção de roupas profissionais;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
14142;Fabricação de acessórios do vestuário, exceto para segurança e proteção;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
14215;Fabricação de meias;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
14223;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
15106;Curtimento e outras preparações de couro;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15211;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15297;Fabricação de artefatos de couro não especificados anteriormente;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15319;Fabricação de calçados de couro;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15327;Fabricação de tênis de qualquer material;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15335;Fabricação de calçados de material sintético;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15394;Fabricação de calçados de materiais não especificados anteriormente;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
15408;Fabricação de partes para calçados, de qualquer material;15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS
16102;Desdobramento de madeira;16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
16218;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
16226;Fabricação de estruturas de madeira e de artigos de carpintaria para construção;16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
16234;Fabricação de artefatos de tanoaria e de embalagens de madeira;16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
16293;"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto
móveis";16;FABRICAÇÃO DE PRODUTOS DE MADEIRA
17109;Fabricação de celulose e outras pastas para a fabricação de papel;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17214;Fabricação de papel;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17222;Fabricação de cartolina e papel-cartão;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17311;Fabricação de embalagens de papel;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17320;Fabricação de embalagens de cartolina e papel-cartão;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17338;Fabricação de chapas e de embalagens de papelão ondulado;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17419;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17427;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
17494;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL
18113;Impressão de jornais, livros, revistas e outras publicações periódicas;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
18121;Impressão de material de segurança;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
18130;Impressão de materiais para outros usos;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
18211;Serviços de pré-impressão;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
18229;Serviços de acabamentos gráficos;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
18300;Reprodução de materiais gravados em qualquer suporte;18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES
19101;Coquerias;19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
19217;Fabricação de produtos do refino de petróleo;19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
19225;Fabricação de produtos derivados do petróleo, exceto produtos do refino;19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
19314;Fabricação de álcool;19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
19322;Fabricação de biocombustíveis, exceto álcool;19;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS
20118;Fabricação de cloro e álcalis;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20126;Fabricação de intermediários para fertilizantes;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20134;Fabricação de adubos e fertilizantes;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20142;Fabricação de gases industriais;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20193;Fabricação de produtos químicos inorgânicos não especificados anteriormente;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20215;Fabricação de produtos petroquímicos básicos;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20223;Fabricação de intermediários para plastificantes, resinas e fibras;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20291;Fabricação de produtos químicos orgânicos não especificados anteriormente;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20312;Fabricação de resinas termoplásticas;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20321;Fabricação de resinas termofixas;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20339;Fabricação de elastômeros;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20401;Fabricação de fibras artificiais e sintéticas;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20517;Fabricação de defensivos agrícolas;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20525;Fabricação de desinfestantes domissanitários;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20614;Fabricação de sabões e detergentes sintéticos;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20622;Fabricação de produtos de limpeza e polimento;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20631;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20711;Fabricação de tintas, vernizes, esmaltes e lacas;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20720;Fabricação de tintas de impressão;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20738;Fabricação de impermeabilizantes, solventes e produtos afins;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20916;Fabricação de adesivos e selantes;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20924;Fabricação de explosivos;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20932;Fabricação de aditivos de uso industrial;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20941;Fabricação de catalisadores;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
20991;Fabricação de produtos químicos não especificados anteriormente;20;FABRICAÇÃO DE PRODUTOS QUÍMICOS
21106;Fabricação de produtos farmoquímicos;21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
21211;Fabricação de medicamentos para uso humano;21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
21220;Fabricação de medicamentos para uso veterinário;21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
21238;Fabricação de preparações farmacêuticas;21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS
22111;Fabricação de pneumáticos e de câmaras-de-ar;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22129;Reforma de pneumáticos usados;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22196;Fabricação de artefatos de borracha não especificados anteriormente;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22218;Fabricação de laminados planos e tubulares de material plástico;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22226;Fabricação de embalagens de material plástico;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22234;Fabricação de tubos e acessórios de material plástico para uso na construção;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
22293;Fabricação de artefatos de material plástico não especificados anteriormente;22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO
23117;Fabricação de vidro plano e de segurança;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23125;Fabricação de embalagens de vidro;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23192;Fabricação de artigos de vidro;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23206;Fabricação de cimento;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23303;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23419;Fabricação de produtos cerâmicos refratários;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23427;Fabricação de produtos cerâmicos não refratários para uso estrutural na construção;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23494;Fabricação de produtos cerâmicos não refratários não especificados anteriormente;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23915;Aparelhamento e outros trabalhos em pedras;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23923;Fabricação de cal e gesso;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
23991;Fabricação de produtos de minerais não metálicos não especificados anteriormente;23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS
